image_path,text
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/33.jpg,"\left\vert E , p _ { 1 } ^ { \mathrm { m i n } } , \ldots , p _ { N - 1 } ^ { \mathrm { m i n } } \right> = \left\vert \begin{array} { c } { E , \left[ 0 \right] } \\ { \left[ q \right] } \\ \end{array} \right> = \left\vert \begin{array} { c } { E , 0 , \ldots , 0 } \\ { q _ { 1 } , \ldots , q _ { k } , \ldots , q _ { N } } \\ \end{array} \right> ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/34.jpg,"\hat { x } _ { 1 } = \lambda _ { 1 } + \frac { \theta } { 2 } ( \partial _ { \lambda _ { 1 } } + i \partial _ { \lambda _ { 2 } } ) \quad , \quad \hat { x } _ { 2 } = \lambda _ { 2 } + \frac { \theta } { 2 } ( \partial _ { \lambda _ { 2 } } - i \partial _ { \lambda _ { 1 } } ) \quad ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/35.jpg,"R ( u _ { 1 } , u _ { 2 } , u _ { 3 } ) _ { i _ { 1 } i _ { 2 } i _ { 3 } } ^ { j _ { 1 } j _ { 2 } j _ { 3 } } \stackrel { \rho } { = } R ( ( \omega u _ { 2 } ) ^ { - 1 } , u _ { 1 } , ( \omega u _ { 3 } ) ^ { - 1 } ) _ { - j _ { 2 } i _ { 1 } - i _ { 3 } } ^ { - i _ { 2 } j _ { 1 } - j _ { 3 } } ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/36.jpg,W _ { f i } [ K ] = \frac { 1 } { \sqrt { 2 \pi \hbar } } \exp \left\{ - \frac { i } { \hbar } \left( p _ { f } q _ { i } + \sum _ { j = 1 } ^ { N } \epsilon H ( p _ { f } - \epsilon K _ { j - 1 } - \sum _ { l = 1 } ^ { j } \epsilon J _ { l } ) \right) \right\} .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/37.jpg,"\hat { \alpha } ( Q ) = \sqrt { { \frac { 3 + 4 Q ^ { 2 } } { 4 ( 1 + Q ^ { 2 } ) } } } \ ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/38.jpg,\psi _ { A } ( \bar { D } ^ { 2 } \phi ) _ { A } + \psi _ { A } ( \bar { D } _ { \mu A E } ( A _ { \mu B } f _ { E B C } \phi _ { C } ) ) + \psi _ { A } f _ { A a B } A _ { \mu B } \phi _ { C } f _ { C a D } A _ { \mu D }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/39.jpg,"L _ { \mu a } = - e \varepsilon _ { a b } D _ { \mu } \phi _ { b } \ ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/40.jpg,{ \delta } \ddot { \phi } + 3 [ 3 { H _ { 0 } } ^ { 2 } - 4 { \pi } { \rho } _ { 0 } ] { \delta } { \phi } = \frac { 8 { \pi } } { 3 } { \delta } { \rho } + \frac { 1 6 { \pi } ^ { 2 } } { { \phi } _ { 0 } } { \delta } { { \sigma } ^ { 2 } }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/41.jpg,w ^ { { \dot { \alpha } } } \nabla _ { { \dot { \alpha } } t } \Psi ^ { { \cal S D } } ( w ) = 0
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/42.jpg,"\alpha N _ { f } = \alpha ( \sum _ { I = 1 } ^ { 9 } v _ { I } \gamma _ { I } + \sum _ { i = 1 } ^ { 3 } \frac { i \mu x ^ { i } } { 4 } \{ \gamma _ { i } , \gamma _ { 1 2 3 } \} ) + \alpha ^ { 2 } \mu ^ { 2 } / 4 ^ { 2 }"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/43.jpg,"S [ \phi ] = \int d ^ { 4 } x ^ { \mu } { \cal L } _ { 0 } ( \phi , \partial _ { \mu } \phi ) \ ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/44.jpg,T _ { 1 2 } = T _ { 2 2 } = T _ { 3 2 } = T _ { 4 2 } = 0
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/45.jpg,\epsilon _ { \mathrm { m } } = { \frac { 8 k ^ { 2 } } { \ell _ { 0 } ^ { 2 } } } B _ { 1 } - k ^ { 2 } \eta ^ { 2 } B _ { 2 } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/46.jpg,G _ { a b } = \frac { \partial ^ { 2 } } { \partial \xi ^ { a } \partial \xi ^ { b } } \log \left( \kappa _ { c d e } \xi ^ { c } \xi ^ { d } \xi ^ { e } \right) .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/47.jpg,"P _ { C } ( x _ { 1 } , x _ { 2 } ) \mathop \to _ { \Omega ( x ) } \Omega ( x _ { 1 } ) P _ { \ell } ( x _ { 1 } , x _ { 2 } ) \Omega ^ { \dagger } ( x _ { 2 } )"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/48.jpg,"f ( x ) \ast g ( x ) = \exp \left. \left( \frac { i } { 2 } \theta ^ { i j } \frac { \partial } { \partial \xi ^ { i } } \frac { \partial } { \partial \zeta ^ { j } } \right) f ( x + \xi ) g ( x + \zeta ) \right| _ { \xi = \zeta = 0 } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/49.jpg,t ( \nu ) q ( \nu ) = a ^ { N } q ( \nu + 2 i \eta ) + b ^ { N } q ( \nu - 2 i \eta ) .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/50.jpg,< \alpha \vert \beta > = t r ( \alpha ^ { * } \beta ) .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/51.jpg,"\frac { \partial \sigma } { \partial \tau } + \frac { \partial } { \partial \theta } ( \sigma s ) = 0 ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/52.jpg,"\overline { { { \cal Y } ^ { \alpha } } } ( { \bf r } ) = { \textstyle \frac { \partial _ { j } } { \partial ^ { 2 } } \overline { { { \cal A } _ { j } ^ { \alpha } } } ( { \bf r } ) } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/53.jpg,"f _ { 2 } = - \frac { \sqrt { 2 } } { 3 } \phi + \frac { \sqrt { 2 } } { 3 } \psi _ { 1 } - \frac { 2 \sqrt { 2 } } { 3 } \psi \ , \ f = \sqrt { 2 } ( \psi - \phi ) ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/54.jpg,c = { \frac { i ( - z _ { \infty } ) ^ { ( k + l ) / N } } { 2 } } { \frac { \Gamma ( ( k + l ) / N ) v } { \sin ( k l \pi / N ) \Gamma ( k / N ) \Gamma ( l / N ) } } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/55.jpg,"\Xi \left( \theta \right) = Q _ { \alpha } ^ { k } \theta _ { k } ^ { \alpha } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/56.jpg,\lambda _ { + } ( x ) = - i \sqrt { { \frac { \pi } { L } } } \sum _ { n = 1 } ^ { \infty } { \frac { 1 } { \sqrt { p _ { - } ( n ) } } } \left( C ( n ) e ^ { - i p ( n ) x } + C ^ { * } ( n ) e ^ { i p ( n ) x } \right)
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/57.jpg,\Phi _ { A } = \phi _ { A } + i \psi _ { A \alpha } \theta _ { \alpha } + f _ { A } \theta ^ { 2 }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/58.jpg,"Z = \int D \bar { \Psi } D \Psi e ^ { - S } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/59.jpg,K = \frac { \pi ^ { 2 } \Gamma ( \frac { \Delta _ { 1 } + \ldots + \Delta _ { 4 } } { 2 } - 2 ) } { 2 \Gamma ( \Delta _ { 1 } ) \ldots \Gamma ( \Delta _ { 4 } ) } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/60.jpg,"< m , \bar { m } ; \tilde { \tau } | \alpha , \beta > = \frac { \beta - m \alpha } { \pi \tilde { \tau } \sqrt { 2 m _ { 2 } } } \exp ( \frac { - i } { m _ { 2 } \tilde { \tau } } | \beta - m \alpha | ^ { 2 } ) ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/61.jpg,"\hat { G } ( p , k _ { 0 } ) \propto { \frac { k _ { 0 } ^ { 2 } h ( b ) ^ { 2 } \hat { f } ( p ) } { 1 - k _ { 0 } \hat { f } ( p ) h ^ { \prime } ( b ) } } ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/62.jpg,"\Sigma ( p , m ) = \frac { 1 } { \pi } \int _ { - \infty } ^ { \infty } \frac { d w } { \gamma \cdotp - w + i \epsilon } \Im \Sigma ( w , m ) ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/63.jpg,"P H P = \left[ \begin{array} { r r } { H _ { 1 1 } } & { H _ { 1 2 } } \\ { H _ { 2 1 } } & { H _ { 2 2 } } \\ \end{array} \right] ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/64.jpg,"W ( C ) \sim \exp [ - \mu P ( C ) ] ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/65.jpg,"2 i \int _ { o } ^ { \infty } d x | f ( g ; \tau ; x ) | ^ { 2 } [ I m V ( g , x ) ] = M ( \nu , \tau ) \Lambda ^ { * } ( \nu , \tau ) - M ^ { * } ( \nu , \tau ) \Lambda ( \nu , \tau ) ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/66.jpg,e _ { [ \alpha } e _ { \beta ] } ^ { \mu } = e _ { \gamma } ^ { \mu } I ^ { \gamma } { } _ { \alpha \beta } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/67.jpg,\tilde { B } _ { \mu : k } ^ { j } = \frac { 1 } { ( 1 + | u | ^ { 2 } ) ^ { j + 1 } } \left\{ j ( \partial _ { \mu } u \bar { u } - u \partial _ { \mu } \bar { u } ) u ^ { k } - k ( 1 + | u | ^ { 2 } ) u ^ { k - 1 } \partial _ { \mu } u \right\}
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/68.jpg,W _ { \bf a } = - { \frac { 1 } { 2 } } \int _ { \frac { 4 \pi \epsilon } { \bf a } } ^ { + \infty } { \frac { d \tau } { \tau } } e ^ { \tau ^ { 2 } } ( 1 - \Phi ( \tau ) ) \simeq { \frac { 1 } { 2 } } \ln ( { \frac { 4 \pi \epsilon } { \bf a } } ) .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/69.jpg,"W P ^ { 2 } = - { \frac { 1 } { 4 \tau ^ { 2 } } } \quad \mathrm { f o r } \quad \tau > { \frac { 1 } { P } } , \nonumber"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/70.jpg,( \partial _ { \pm } X ^ { 0 } ) ^ { 2 } = R ( X ^ { 0 } ) ^ { 2 } ( \partial _ { \pm } X ) ^ { 2 } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/71.jpg,"A _ { i } ^ { 2 } \equiv \epsilon ^ { i j k } \nabla ^ { - 2 } \partial _ { j } \pi _ { k } ^ { 1 } , \quad \pi _ { i } ^ { 2 } \equiv \epsilon ^ { i j k } \partial _ { j } A _ { k } ^ { 1 } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/72.jpg,"n ^ { + } ( m , d ) \approx 2 \left( m + 1 - { \frac { 1 } { m } } \right) { \frac { \rho _ { 1 1 } ( d ) } { 4 - d } } ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/73.jpg,{ \frac { 3 } { 2 } } { \frac { d ^ { 2 } f ( | y | ) } { d | y | ^ { 2 } } } = - \kappa _ { 5 } ^ { 2 } \Lambda _ { 5 } f ( | y | )
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/74.jpg,{ \sum _ { n > 0 } } \frac { 1 } { L } u _ { n } ^ { + } ( x ) u _ { n } ^ { + } ( y ) + \frac { 1 } { L } u _ { 0 } ^ { + } ( x ) u _ { 0 } ^ { + } ( y ) = \delta ( x - y ) .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/75.jpg,d s ^ { 2 } = \frac { 1 } { ( 1 + | z | / L ) ^ { 2 } } [ d x _ { 4 } ^ { 2 } + T ^ { 2 } ( x ) d z ^ { 2 } ] .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/76.jpg,f ^ { i a } = \left( \begin{matrix} { 0 } & { 0 } \\ { 0 } & { A \partial } \\ \end{matrix} \right) \ .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/77.jpg,a ( t ) = t ^ { \frac { 2 } { 3 ( \gamma + 1 ) } } \ .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/78.jpg,- \frac { \delta D _ { 1 2 } } { \delta D _ { 3 4 } ^ { - 1 } } = \frac { 1 } { 2 } \left\{ D _ { 1 3 } D _ { 4 2 } + D _ { 1 4 } D _ { 3 2 } \right\} .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/79.jpg,"\mathrm { e x p } \{ ( i / \hbar ) S _ { m , \mathrm { e x t } } \} = \hat { U } _ { m } ( F ) \mathrm { e x p } \{ ( i / \hbar ) S _ { m } \} ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/80.jpg,Z = - \frac { 1 } { e ^ { 2 } { \phi _ { 0 } } ^ { 2 } } \int d ^ { 2 } x \left[ \frac { e } { 2 } \epsilon ^ { i j } F _ { i j } ( \vert \Phi \vert ^ { 2 } - { \Phi _ { 0 } } ^ { 2 } ) + i \epsilon ^ { i j } ( D _ { i } \Phi ) ( D _ { j } \Phi ) ^ { * } \right]
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/81.jpg,"T _ { i } ( \vec { q } ) \to T ( \vec { x } , t ; \vec { q } )"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/82.jpg,{ \partial } ( \omega ^ { n - 1 } \wedge h ^ { - 1 } \overline { { \partial } } h ) = 0
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/83.jpg,"\left. { \frac { d ^ { 2 } c _ { l } } { d y ^ { 2 } } } \right| _ { y = 0 } = 0 ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/84.jpg,"{ \mathit { K } } _ { \frac { 1 } { 2 } } ( z ) = \sqrt { \frac { \pi } { 2 z } } e ^ { - z } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/85.jpg,d s ^ { 2 } = r ^ { 2 } [ - { \cal F } d u d v + d \theta ^ { 2 } + \sin ^ { 2 } \! \theta d \phi ^ { 2 } ] \: .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/86.jpg,"e ^ { \textstyle - J \alpha _ { - } \Phi ( \sigma , \tau ) } = c _ { J } \sum _ { m = - J } ^ { J } { \frac { ( - 1 ) ^ { J - m } \lambda _ { m } ^ { ( J ) } ( \varpi ) } { \sqrt { \lfloor \varpi \rfloor } \sqrt { \lfloor \varpi + 2 m \rfloor } } } \psi _ { m } ^ { ( J ) } ( x _ { + } ) { \overline { \psi } _ { m } ^ { ( J ) } } ( x _ { - } )"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/87.jpg,"( D _ { \mu } D ^ { \mu } + m _ { \mathrm { e f f } } ^ { 2 } ) B ^ { \nu } + i e g F _ { \rho } ^ { \mu } B ^ { \rho } = 0 ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/88.jpg,"{ \cal G } = M _ { a b } d { \bf x } _ { a } \cdot d { \bf x } _ { b } + ( M ^ { - 1 } ) _ { a b } ( d \xi _ { a } + { \bf W } _ { a c } \cdot d { \bf x } _ { c } ) ( d \xi _ { b } + { \bf W } _ { b d } \cdot d { \bf x } _ { d } ) ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/89.jpg,{ \frac { \pi } { 1 2 } } ( k T ) ^ { 2 } \left( \begin{matrix} { - 2 } & { 0 } \\ { 0 } & { 2 } \\ \end{matrix} \right) .
